,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,(+/-)
1,James Harden,HOU,29,38,23,15,37.1,34.1,9.9,22.6,43.8,4.9,12.6,39,9.4,11,85.6,0.7,5.4,6.1,8.7,5.7,2,0.6,3.4,56.7,16,6,2.3
2,Anthony Davis,NOP,25,38,19,19,36.9,28.9,10.4,20.2,51.2,1,3,32.5,7.2,9,80.6,3.4,9.9,13.3,4.4,2.1,1.7,2.6,2.6,62.5,30,0,4.6
3,Stephen Curry,GSW,30,31,23,8,34.5,28.8,9.6,19.8,48.7,5,11.4,44.3,4.5,4.9,91.5,0.7,4.5,5.2,5.6,3.1,1.3,0.3,2.5,45.1,1,0,9.5
4,Kevin Durant,GSW,30,42,28,14,35.6,28.2,9.7,19.2,50.7,1.8,5,36.8,7,7.6,91.3,0.5,6.9,7.3,6.1,3.4,0.8,1,1.9,48.3,12,2,7.8
5,LeBron James,LAL,34,34,20,14,34.7,27.3,10,19.3,51.8,2,5.6,35.6,5.3,7.8,68.2,0.9,7.4,8.3,7.1,3.4,1.3,0.7,1.6,50.6,17,3,2.8
6,Kawhi Leonard,TOR,27,34,24,10,34.6,27.1,9.5,18.9,50.2,1.7,4.7,36.9,6.4,7.6,84.5,1.3,6.6,7.9,3.1,2,1.9,0.5,1.5,46.3,10,0,5.6
7,Joel Embiid,PHI,24,40,26,14,33.7,26.9,8.9,18.2,49,1.2,3.8,30.1,8,9.9,80.6,2.3,11.1,13.5,3.5,3.5,0.6,1.9,3.3,52.2,36,1,4.6
8,Paul George,OKC,28,41,25,16,35.7,26.7,9.1,20.5,44.5,3.3,8.7,38.3,5.1,6.2,82.6,1.5,6.6,8.1,3.9,2.7,2.2,0.5,2.8,47.7,14,0,7.1
9,Giannis Antetokounmpo,MIL,24,38,27,11,33.6,26.6,9.9,17.1,58.1,0.4,2.4,16.7,6.3,9,69.9,2.4,10.4,12.8,6,4.1,1.3,1.5,3.4,55.3,28,3,7.9
10,Damian Lillard,POR,28,43,26,17,35.2,25.8,8.5,19,44.6,2.9,7.6,38.4,5.9,6.6,89.8,0.8,3.7,4.5,6.1,2.8,1,0.5,1.8,42.3,5,0,3.7
11,Blake Griffin,DET,29,39,18,21,36,25.6,8.7,18.1,47.8,2.4,6.6,36.3,5.8,7.7,75.7,1.3,7,8.3,5.3,3.8,0.8,0.5,2.8,43.4,15,1,-0.6
12,Kemba Walker,CHA,28,42,19,23,34.2,25,8.6,19.8,43.4,3.2,8.9,35.5,4.7,5.8,81.4,0.5,3.7,4.2,5.7,2.6,1.2,0.5,1.7,41,2,0,0.2
13,Devin Booker,PHX,22,31,8,23,35.2,24.8,8.8,19.4,45.2,2.3,6.9,32.6,5,6,84.3,0.6,3.1,3.7,6.9,3.8,1.1,0.2,3.4,39.6,4,0,-4.4
14,Bradley Beal,WAS,25,43,18,25,36.7,24.4,9.1,19.2,47.3,2.5,7.1,35.2,3.7,4.7,80,1,3.8,4.8,4.8,2.7,1.3,0.8,3,41.1,4,1,-1.7
15,Zach LaVine,CHI,23,37,7,30,34.1,23.6,8.3,18.2,45.7,1.8,5.1,35.8,5.1,5.9,86.7,0.4,3.9,4.3,4.1,3.6,0.9,0.5,2.3,35.6,1,0,-6.4
16,Kyrie Irving,BOS,26,38,22,16,32.1,22.7,8.6,17.7,48.9,2.5,6.3,39.7,2.9,3.4,85.4,1.2,3.6,4.8,6.4,2.5,1.6,0.4,2.2,41.8,8,0,6.9
17,Karl-Anthony Towns,MIN,23,43,21,22,33.6,22.4,8.2,16.5,49.6,1.7,4.6,37.9,4.3,5.2,83,3.4,9.1,12.6,3,2.9,0.9,2,3.8,47.6,28,0,2.4
18,DeMar DeRozan,SAS,29,44,25,19,35.3,22.1,8.4,18.1,46.6,0.2,0.9,17.5,5,6.1,82.5,0.8,5.4,6.2,6.4,2.5,1,0.5,2.3,41.2,8,1,0
19,Klay Thompson,GSW,28,42,28,14,34.5,21.8,8.5,18.8,45.3,2.8,7.5,36.6,2,2.5,80.2,0.5,3.7,4.1,2,1.6,1.2,0.7,2,34,0,0,3
20,Russell Westbrook,OKC,30,34,21,13,35.3,21.4,8.4,20,42.1,1.1,4.7,23.3,3.5,5.5,63.1,1.4,9.5,10.8,10.6,4.7,2.5,0.3,3.5,54,25,13,6.6
21,Donovan Mitchell,UTA,22,40,22,18,32.9,21.3,7.9,18.8,42.1,2.2,6.9,32.5,3.3,4.1,79.3,0.6,3.1,3.7,3.7,2.7,1.6,0.4,2.7,34.4,0,0,2.5
22,CJ McCollum,POR,27,42,25,17,34.2,21.1,8.3,18,46.2,2,5.9,33.7,2.4,2.9,82.8,0.9,2.9,3.7,2.6,1.5,0.8,0.4,2.5,31.5,0,0,3.8
23,Jrue Holiday,NOP,28,43,20,23,36.6,20.8,8.1,16.8,48,1.6,5,32.6,3,3.9,77.8,1.2,3.4,4.6,8.2,3.5,1.7,0.8,2.6,42.5,13,0,5
24,Tobias Harris,LAC,26,42,24,18,34.2,20.8,7.8,15.5,50.2,1.9,4.5,43.3,3.3,3.8,88.6,0.7,7.4,8.1,2.2,2,0.8,0.4,2.1,35.3,11,0,1.4
25,John Wall,WAS,28,32,11,21,34.5,20.7,7.7,17.3,44.4,1.6,5.3,30.2,3.8,5.5,69.7,0.5,3.2,3.6,8.7,3.8,1.5,0.9,2.2,41.7,10,0,-4.8
26,LaMarcus Aldridge,SAS,33,44,25,19,32.6,20.6,8.1,16,51,0,0.3,13.3,4.3,5.1,84.3,2.8,5.8,8.6,2.4,1.8,0.5,1.1,2.1,37.8,12,0,0.6
27,Mike Conley,MEM,31,41,19,22,33.9,20.2,6.8,16.2,41.8,2.2,6.1,35.5,4.5,5.3,84.4,0.6,2.7,3.3,6.2,1.8,1.3,0.4,1.7,36.9,5,0,1.9
